Date,Narration,Voucher Type,Debit,Credit,Amount,Bank Ledger,Contra Ledger,Balance,Reference
01-05-2025,"01/05/2025 01/05/2025 NEFT-BARBX25121605584-KRISHNA 3,480.00 TRADERS-HDFC BANK LT",Payment,3480.00,,3480.00,Bank Account,A,55444.72,
01-05-2025,01/05/2025 01/05/2025 Charges for PORD Customer Payment 2.65 :002765517902,Payment,2.65,,2.65,Bank Account,BANK CHARGES,55447.37,
01-05-2025,"01/05/2025 01/05/2025 NEFT-BARBX25121631092-SUNIL 16,920.00 ENTERPRISES-AU SMALL F",Payment,16920.00,,16920.00,Bank Account,A,72367.37,
01-05-2025,01/05/2025 01/05/2025 Charges for PORD Customer Payment 5.60 :002765500227,Payment,5.60,,5.60,Bank Account,BANK CHARGES,72372.97,
01-05-2025,"01/05/2025 01/05/2025 MBK/512142577729/09:43:52/SIDDHANT 38,848.00 to m inayat al",Payment,38848.00,,38848.00,Bank Account,A,111220.97,
01-05-2025,"01/05/2025 01/05/2025 NEFT-BARBX25121614902-AADESH 20,061.00 ENTERPRISES PVT LT-I.",Payment,20061.00,,20061.00,Bank Account,A,131281.97,
01-05-2025,01/05/2025 01/05/2025 Charges for PORD Customer Payment 5.60 :002765500123,Payment,5.60,,5.60,Bank Account,BANK CHARGES,131287.57,
30-04-2025,"30/04/2025 30/04/2025 BY CASH 50,000.00",Contra,,50000.00,50000.00,Bank Account,Cash,81287.57,
30-04-2025,"30/04/2025 30/04/2025 NEFT-ICIN212026734161-RETAIL SCAN 1,137.52 MANAGEMENT SERVI",Receipt,,1137.52,1137.52,Bank Account,A,80150.05,
29-04-2025,"29/04/2025 29/04/2025 NEFT-HDFCH00207868361-DEEPSAGAR 69,514.00 PROVISION",Receipt,,69514.00,69514.00,Bank Account,A,10636.05,
29-04-2025,"29/04/2025 29/04/2025 NEFT-BARBT25119632829-RSPL LTD- 1,00,000.00 HDFC BANK LTD. (HDF",Payment,100000.00,,100000.00,Bank Account,A,110636.05,
29-04-2025,29/04/2025 29/04/2025 Charges for PORD Customer Payment 5.60 :002761146043,Payment,5.60,,5.60,Bank Account,BANK CHARGES,110641.65,
29-04-2025,"29/04/2025 29/04/2025 NEFT-BARBT25119632795-RSPL LTD- 1,50,000.00 HDFC BANK LTD. (HDF",Payment,150000.00,,150000.00,Bank Account,A,260641.65,
29-04-2025,29/04/2025 29/04/2025 Charges for PORD Customer Payment 17.40 :002761145999,Payment,17.40,,17.40,Bank Account,BANK CHARGES,260659.05,
29-04-2025,"29/04/2025 29/04/2025 BY CASH 2,50,000.00",Contra,,250000.00,250000.00,Bank Account,Cash,10659.05,
28-04-2025,"28/04/2025 28/04/2025 NEFT-BARBR25118616192-RSPL LTD- 2,00,000.00 HDFC BANK LTD. (HDF",Payment,200000.00,,200000.00,Bank Account,A,210659.05,
28-04-2025,28/04/2025 28/04/2025 Charges for PORD Customer Payment 17.40 :002759000711,Payment,17.40,,17.40,Bank Account,BANK CHARGES,210676.45,
28-04-2025,"28/04/2025 28/04/2025 BY CASH 2,00,000.00",Contra,,200000.00,200000.00,Bank Account,Cash,10676.45,
26-04-2025,"26/04/2025 26/04/2025 NEFT-BARBZ25116233958-INDORE 19,386.00 PROTEINS PVT LTD-HDFC",Payment,19386.00,,19386.00,Bank Account,A,30062.45,
26-04-2025,26/04/2025 26/04/2025 Charges for PORD Customer Payment 5.60 :002755001127,Payment,5.60,,5.60,Bank Account,BANK CHARGES,30068.05,
25-04-2025,"25/04/2025 25/04/2025 NEFT-BARBY25115034839-AADESH 30,000.00 ENTERPRISES PVT LT-I.",Payment,30000.00,,30000.00,Bank Account,A,60068.05,
25-04-2025,25/04/2025 25/04/2025 Charges for PORD Customer Payment 5.60 :002753627265,Payment,5.60,,5.60,Bank Account,BANK CHARGES,60073.65,
24-04-2025,"24/04/2025 24/04/2025 NEFT-BARBV25114893309-RSPL LTD- 1,20,000.00 HDFC BANK LTD. (HDF",Payment,120000.00,,120000.00,Bank Account,A,180073.65,
24-04-2025,24/04/2025 24/04/2025 Charges for PORD Customer Payment 17.40 :002751298889,Payment,17.40,,17.40,Bank Account,BANK CHARGES,180091.05,
24-04-2025,"24/04/2025 24/04/2025 BY CASH 1,00,000.00",Contra,,100000.00,100000.00,Bank Account,Cash,80091.05,
23-04-2025,"23/04/2025 23/04/2025 NEFT-BARBT25113036689-KRISHNA 19,413.00 TRADERS-HDFC BANK LT",Payment,19413.00,,19413.00,Bank Account,A,99504.05,
23-04-2025,23/04/2025 23/04/2025 Charges for PORD Customer Payment 5.60 :002748329694,Payment,5.60,,5.60,Bank Account,BANK CHARGES,99509.65,
23-04-2025,"23/04/2025 23/04/2025 MBK/511364127989/13:26:43/Ashok 5,000.00 Kumar jain 02/06/2026 15:23 Contact-Us@18005700 Page 17 of 19 *This is computer-generated statement.No signature is required.",Receipt,,5000.00,5000.00,Bank Account,A,94509.65,
23-04-2025,"23/04/2025 23/04/2025 NEFT-BARBS25113929431-AADESH 60,815.00 ENTERPRISES-I.C.I.C.I",Payment,60815.00,,60815.00,Bank Account,A,155324.65,
23-04-2025,23/04/2025 23/04/2025 Charges for PORD Customer Payment 5.60 :002748215432,Payment,5.60,,5.60,Bank Account,BANK CHARGES,155330.25,
23-04-2025,"23/04/2025 23/04/2025 NEFT-BARBS25113928392-SUBHASH 29,610.00 STORE-BANK OF INDIA",Payment,29610.00,,29610.00,Bank Account,A,184940.25,
23-04-2025,23/04/2025 23/04/2025 Charges for PORD Customer Payment 5.60 :002748214303,Payment,5.60,,5.60,Bank Account,BANK CHARGES,184945.85,
23-04-2025,"23/04/2025 23/04/2025 NEFT-BARBS25113927841-PERFECT 57,403.00 TRADER-YES BANK LIMI",Payment,57403.00,,57403.00,Bank Account,A,242348.85,
23-04-2025,23/04/2025 23/04/2025 Charges for PORD Customer Payment 5.60 :002748211934,Payment,5.60,,5.60,Bank Account,BANK CHARGES,242354.45,
22-04-2025,"22/04/2025 22/04/2025 BY CASH 2,00,000.00",Contra,,200000.00,200000.00,Bank Account,Cash,42354.45,
21-04-2025,"21/04/2025 21/04/2025 NEFT-BARBZ25111455327-AADESH 53,909.00 ENTERPRISES PVT LT-I.",Payment,53909.00,,53909.00,Bank Account,A,96263.45,
21-04-2025,21/04/2025 21/04/2025 Charges for PORD Customer Payment 5.60 :002743411944,Payment,5.60,,5.60,Bank Account,BANK CHARGES,96269.05,
19-04-2025,"19/04/2025 19/04/2025 NEFT-SBIN225109834134-DILIP KIRANA 50,000.00 STORE",Receipt,,50000.00,50000.00,Bank Account,A,46269.05,
19-04-2025,"19/04/2025 19/04/2025 MBK/510922677898/10:28:59/Ashok 5,000.00 Kumar jain",Receipt,,5000.00,5000.00,Bank Account,A,41269.05,
17-04-2025,"17/04/2025 17/04/2025 NEFT-BARBT25107820315-RSPL LTD- 1,43,000.00 HDFC BANK LTD. (HDF",Payment,143000.00,,143000.00,Bank Account,A,184269.05,
17-04-2025,17/04/2025 17/04/2025 Charges for PORD Customer Payment 17.40 :002737066307,Payment,17.40,,17.40,Bank Account,BANK CHARGES,184286.45,
17-04-2025,"17/04/2025 17/04/2025 NEFT-BARBT25107620909-RSPL LTD- 2,00,000.00 HDFC BANK LTD. (HDF",Payment,200000.00,,200000.00,Bank Account,A,384286.45,
17-04-2025,17/04/2025 17/04/2025 Charges for PORD Customer Payment 17.40 :002736863088,Payment,17.40,,17.40,Bank Account,BANK CHARGES,384303.85,
17-04-2025,"17/04/2025 17/04/2025 BY CASH 2,50,000.00",Contra,,250000.00,250000.00,Bank Account,Cash,134303.85,
17-04-2025,"17/04/2025 17/04/2025 MBK/510703191358/11:21:39/SIDDHANT 10,700.00 to Anisha mark",Payment,10700.00,,10700.00,Bank Account,Sarkk & Associates,145003.85,
17-04-2025,"17/04/2025 17/04/2025 NEFT-FBBT251073210379- 3,290.00 BHARATPEPPG",Receipt,,3290.00,3290.00,Bank Account,A,141713.85,
14-04-2025,"14/04/2025 14/04/2025 NEFT-BARBX25104572330-KRISHNA 29,497.00 TRADERS-HDFC BANK LT",Payment,29497.00,,29497.00,Bank Account,A,171210.85,
14-04-2025,14/04/2025 14/04/2025 Charges for PORD Customer Payment 5.60 :002729391323,Payment,5.60,,5.60,Bank Account,BANK CHARGES,171216.45,
12-04-2025,12/04/2025 12/04/2025 NEFT-UNBAHc8b7cb1524b-Bharat Pe 10.00,Receipt,,10.00,10.00,Bank Account,A,171206.45,
11-04-2025,"11/04/2025 11/04/2025 NEFT-BARBT25101349972-PINAKEAST 15,380.00 ENTERPRISES-PUNJAB",Payment,15380.00,,15380.00,Bank Account,A,186586.45,
11-04-2025,11/04/2025 11/04/2025 Charges for PORD Customer Payment 5.60 :002724708773,Payment,5.60,,5.60,Bank Account,BANK CHARGES,186592.05,
11-04-2025,"11/04/2025 11/04/2025 NEFT-BARBS25101068510-VICTOR 17,962.00 MARKETING-STATE BANK",Payment,17962.00,,17962.00,Bank Account,A,204554.05,
11-04-2025,11/04/2025 11/04/2025 Charges for PORD Customer Payment 5.60 :002723380735,Payment,5.60,,5.60,Bank Account,BANK CHARGES,204559.65,
11-04-2025,11/04/2025 11/04/2025 Chg Cash handling for:29-03-2025 107.00,Payment,107.00,,107.00,Bank Account,BANK CHARGES,204666.65,
10-04-2025,10/04/2025 10/04/2025 IMPS/P2A/510016710483/BigCity 1.00 9220/IMPSAXB9163,Receipt,,1.00,1.00,Bank Account,A,204665.65,
10-04-2025,"10/04/2025 10/04/2025 MBK/510031687963/15:29:41/SIDDHANT 47,848.00 To ANISHA MARK",Payment,47848.00,,47848.00,Bank Account,Sarkk & Associates,252513.65,
10-04-2025,"10/04/2025 10/04/2025 NEFT-BARBQ25100589672-AADESH 80,000.00 ENTERPRISES PVT LT-I.",Payment,80000.00,,80000.00,Bank Account,A,332513.65,
10-04-2025,10/04/2025 10/04/2025 Charges for PORD Customer Payment 5.60 :002721736349,Payment,5.60,,5.60,Bank Account,BANK CHARGES,332519.25,
10-04-2025,"10/04/2025 10/04/2025 NEFT-BARBQ25100589189-AADESH 39,581.00 ENTERPRISES-I.C.I.C.I",Payment,39581.00,,39581.00,Bank Account,A,372100.25,
10-04-2025,10/04/2025 10/04/2025 Charges for PORD Customer Payment 5.60 :002721735857,Payment,5.60,,5.60,Bank Account,BANK CHARGES,372105.85,
10-04-2025,"10/04/2025 10/04/2025 NEFT-BARBQ25100588916-RIDDHI 12,519.00 MARKETING-HDFC BANK L",Payment,12519.00,,12519.00,Bank Account,A,384624.85,
10-04-2025,10/04/2025 10/04/2025 Charges for PORD Customer Payment 5.60 :002721735548,Payment,5.60,,5.60,Bank Account,BANK CHARGES,384630.45,
10-04-2025,10/04/2025 10/04/2025 SMS Charges for MAR 25 1.18,Payment,1.18,,1.18,Bank Account,BANK CHARGES,384631.63,
09-04-2025,09/04/2025 09/04/2025 IMPS/P2A/509918116080/ETAIL SCAN 1.00 MANA/RETAIL SCAN,Receipt,,1.00,1.00,Bank Account,A,384630.63,
09-04-2025,09/04/2025 09/04/2025 NEFT-YESCB50990128383-RESILIENT 550.00 INNOVATIONS PVT LT,Receipt,,550.00,550.00,Bank Account,A,384080.63,
08-04-2025,"08/04/2025 08/04/2025 NEFT-AXOMB09854874420-ARIHANT 1,35,000.00 ENTERPRISES 02/06/2026 15:23 Contact-Us@18005700 Page 18 of 19 *This is computer-generated statement.No signature is required.",Receipt,,135000.00,135000.00,Bank Account,A,249080.63,
08-04-2025,"08/04/2025 08/04/2025 BY CASH 2,00,000.00",Contra,,200000.00,200000.00,Bank Account,Cash,49080.63,
08-04-2025,"08/04/2025 08/04/2025 NEFT-FBBT250989641121- 2,175.00 BHARATPEPPG",Receipt,,2175.00,2175.00,Bank Account,A,46905.63,
07-04-2025,"07/04/2025 07/04/2025 NEFT-FBBT250979298007- 4,675.00 BHARATPEPPG",Receipt,,4675.00,4675.00,Bank Account,A,42230.63,
06-04-2025,06/04/2025 06/04/2025 NEFT-AXOMB09636714284-ARIHANT 100.00 ENTERPRISES,Receipt,,100.00,100.00,Bank Account,A,42130.63,
06-04-2025,"06/04/2025 06/04/2025 NEFT-FBBT250968979550- 1,304.00 BHARATPEPPG",Receipt,,1304.00,1304.00,Bank Account,A,40826.63,
05-04-2025,"05/04/2025 05/04/2025 NEFT-FBBT250958514253- 1,395.00 BHARATPEPPG",Receipt,,1395.00,1395.00,Bank Account,A,39431.63,
04-04-2025,"04/04/2025 04/04/2025 NEFT-FBBT250947997198- 3,715.00 BHARATPEPPG",Receipt,,3715.00,3715.00,Bank Account,A,35716.63,
03-04-2025,"03/04/2025 03/04/2025 NEFT-FBBT250937735894- 2,760.00 BHARATPEPPG",Receipt,,2760.00,2760.00,Bank Account,A,32956.63,
02-04-2025,"02/04/2025 02/04/2025 NEFT-YESAP50921107506-RESILIENT 9,486.00 INNOVATIONS PVT LT",Receipt,,9486.00,9486.00,Bank Account,A,23470.63,
02-04-2025,"02/04/2025 01/04/2025 MBK/509117427277/17:46:29/Ashok 5,000.00 Kumar jain",Receipt,,5000.00,5000.00,Bank Account,A,18470.63,
02-04-2025,02/04/2025 01/04/2025 UPI/509172410605/06:56:01/UPI/12club@y 270.00 esbank/BP11 02/06/2026 15:23 Contact-Us@18005700 Page 19 of 19 *This is computer-generated statement.No signature is required.,Receipt,,270.00,270.00,Bank Account,A,18470.63,
